ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
ICAG1,¦¨¤H,Clcr,1.00,999.00,mL/min,mL/min,Parenteral calcium should be administered only after careful assment of the indication and the calcum-phosphate balance should be monitored.,[¥é³æ],202412101021,202412101023
ICAR2,¦¨¤H,Clcr,16.00,40.00,mL/min,mL/min,²Ä¤@¤Ñ¤§«ØÄ³¾¯¶q: 200mg/m2,¥é³æ 20231204,202312041613,202312041613
ICAR2,¦¨¤H,Clcr,41.00,59.00,mL/min,mL/min,²Ä¤@¤Ñ¤§«ØÄ³¾¯¶q: 250mg/m2,¥é³æ 20231204,202312041613,202312041613
ICEF1,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: 1 -2 gm Q24-48H (+ extra 0.5-1 gm after dialysis),,,202303090959
ICEF1,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,1 -2 gm Q24-48H,,,202303090959
ICEF1,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,1 -2 gm Q12H,,,202303090959
ICEF1,¦¨¤H,Clcr,50.00,90.00,mL/min,mL/min,1 -2 gm Q8H,,,202303090959
ICEF1,¨àµ£,Clcr,5.00,20.00,mL/min,mL/min,10% of the normal daily dose given every 24 hr,,201803261632,201803261632
ICEF1,¨àµ£,Clcr,20.00,40.00,mL/min,mL/min,25% of the normal dose divided every 12 hr,,201803261632,201803261632
ICEF1,¨àµ£,Clcr,40.00,70.00,mL/min,mL/min,60% of the normal daily dose divided every 12 hr,,201803261632,202303090958
ICEFS,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,µÇ°IºÜ(Creatinine clearance < 10mL/min):¤£­n¶W¹L2g/day¡C,¥é³æ 20230809,202308091626,202308091626
ICEFT,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,0.5 g every 48 hours,,201803261635,202303090945
ICEFT,¦¨¤H,Clcr,0,0,mL/min,mL/min,give initial 1 g loading dose followed by 1 g after each hemodialysis period,¦å²G³zªR±wªÌ,201803261636,202303090945
ICEFT,¦¨¤H,Clcr,6.00,15.00,mL/min,mL/min,0.5 g every 24 hours,,201803261635,202303090946
ICEFT,¦¨¤H,Clcr,16.00,30.00,mL/min,mL/min,1 g every 24 hours,,201803261635,202303090946
ICEFT,¦¨¤H,Clcr,31.00,50.00,mL/min,mL/min,1 g every 12 hours,,201803261634,202303090946
ICERE,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ±wªÌ¤£«ØÄ³¨Ï¥Î,,201804261423,201804261423
ICET,¦¨¤H,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 48 hours (after hemodialysis),Micromedex,201803261642,202011111046
ICET,¦¨¤H,eGFR,10.00,29.00,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 24 hours,Micromedex,201803261640,202011111047
ICET,¦¨¤H,eGFR,30.00,49.00,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 16 hours,Micromedex,201803261640,202011111047
ICET,¦¨¤H,eGFR,50.00,90.00,mL/min/1.73m2,mL/min/1.73m2,1-2 g every 12 hours,Micromedex,201803261640,202011111047
ICETR,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,µL¬ÛÃö¬ã¨sÀ³ÂÔ·V¨Ï¥Î,201804231429,201810211205
ICIP2,¦¨¤H,Clcr,0,4.00,mL/min,mL/min,¨Ì¤W­zClcr­È½Õ¾ã¡A©ó³zªR§¹¦Aµ¹ÃÄ,,,202303090947
ICIP2,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,200 to 400 mg IV every 18 to 24 hours,400mg/day,,202303090947
ICIP2,¦¨¤H,Clcr,30.00,120.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,800mg/day,,202303090947
ICIT3,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à»ÙÃªªÌÀ³ÂÔ·V¨Ï¥Î,,201804191527,201804191527
ICLA1,¦¨¤H,eGFR,0,20.00,mL/min/1.73m2,mL/min/1.73m2,Dose should be reduced by 50%,MICROMEDEX (2020-05-26),202005261654,202005261649
ICLA1,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,1 - 2gm q24h,Sanford Guide(Web) (2020-05-26),202005261658,202005261649
ICLA1,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,Loading dose: 1g; Maintenance dose: 50% of normal dose with same freqency,¥é³æ,202005261644,202303090947
ICLA1,¦¨¤H,Clcr,0,0,mL/min,mL/min,H/D: 1 ~ 2g q24h AD CAPD: 1 ~ 2g q24h,¥é³æ,202005261647,202005261649
ICLA1,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,1 - 2gm q12-24h,Sanford Guide(Web) (2020-05-26),202005261657,202005261649
ICLAR2,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,[¥é³æ]­««×µÇ¥\¯à¤£¥þ¡]GFR<30mL/min/1.73m2¡^¡AÀ³¥ýÂÔ·Vµû¦ô¡A¦pªG¥²¶·¨Ï¥Î¡A¨C¤½¤çÅé­«ªºª`®g¾¯¶q¤£¥i¶W¹L 0.1 mmol/kg¡C¨C¦¸±½´y¤§ª`®g¤£¥i¶W¹L¤@¦¸¡C,,202001121050,202001121053
ICLEX,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,DVT prophylaxis in abdominal surgery¡A hip replacement¡A knee replacement¡A or in medical patients during acute illness: SubQ: 30 mg once daily.,,201804191144,202303090948
ICLI15,¦¨¤H,Clcr,0,0,mL/min,mL/min,¹ï©óµÇ¥\¯à¤£¥þ±wªÌ¡AÀ³¸ÓÂÔ·Vª`·N,ÄY­«µÇ¥\¯à°IºÜ ÄY­«µÇ¥\¯à°IºÜ±wªÌ³Ì¦n¨Ï¥Î¯S®í°t¤èªº®ò°ò»Ä·»²G,201804261519,201804261519
ICOL,¦¨¤H,Scr,0.70,1.20,mg/dL,mg/dL,100-150mg Q6H-Q12H¡A approximate daily dose = 5mg/kg/day,300mg/day,,202303090948
ICOL,¦¨¤H,Scr,1.30,1.50,mg/dL,mg/dL,75-115mg Q12H¡A approximate daily dose = 2.5-3.8mg/kg/day,150-230mg/day,,202303090948
ICOL,¦¨¤H,Scr,1.60,2.50,mg/dL,mg/dL,66-150mg Q12H-Q24H¡A approximate daily dose = 2.5mg/kg/day,133-150mg/day,,202303090949
ICOL,¦¨¤H,Scr,2.60,4.00,mg/dL,mg/dL,100-150mg Q36H¡A approximate daily dose = 1.5mg/kg/day,100mg/day,,202303090949
ICOL,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,1.5 mg/kg IM or IV every 36 hours,,,202303090949
ICOL,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,2.5 mg/kg IM or IV once daily or in 2 divided doses,,,202303090949
ICOL,¦¨¤H,Clcr,50.00,79.00,mL/min,mL/min,2.5 to 3.8 mg/kg/day IM or IV in 2 divided doses,,,202303090949
ICOV,¦¨¤H,Clcr,0,0,mL/min,mL/min,¡iµÇ¥\¯à·l®`ªº¯f±w¨Ï¥Î®É¡j·ímethotrexateªº±Æªn¤£¨¬«h·|¾É­P²Ö¿n¦Ó¼W¥[methotrexate¬r©Êªº¦MÀI¡F§Y¨Ï¤Ö¶qmethotrexate¤]¥i¯à¾É­PÄY­«ªº°©Åè§í¨î©MÂH½¤ª¢¡C¦]¦¹¥²¶·¼W¥[folinate calcium¾¯¶q©Î©µªøªvÀøªº®É¶¡®É¡A¤]¶·¤p¤ß°»´úmethotrexateªº¿@«×¡C,¥é³æ 20240115,202401151530,202401151530
ICRA2,¦¨¤H,Clcr,0,19.99,mL/min,mL/min,¡i¼ö¯f¡j: 750 mg once¡A then 500 mg q48h (Hemodialysis¡A CAPD¡A CRRT¬Ò¾A¥Î),,202112031347,202112031349
ICRA2,¦¨¤H,Clcr,10.00,19.00,mL/min,mL/min,¡i250mg/day regimen¡j: 250mg q48h  ¡i500mg/day regimen¡j: loading 500mg¡A then 250mg q48h ¡i750mg/day regimen¡j: loading 750mg¡A then 500mg q48h,,,201908291500
ICRA2,¦¨¤H,Clcr,20.00,49.00,mL/min,mL/min,¡i250mg/day regimen¡j: no adjustment required  ¡i500mg/day regimen¡j: loading 500mg¡A then 250mg q24h  ¡i750mg/day regimen¡j: 750mg q48h ¡i¼ö¯f¡j: 750mg q48h,,,202112031348
ICRA2,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,,202303090949
IDDA,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤¤«×¨ìÄY­«ªºµÇ¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,¸ê®Æ¨Ó·½:Micromedex,201907241538,201804242350
IDES,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ°IºÜ±wªÌÀ³¤p¤ß¨Ï¥Î¡AÅK©M¾Tªº½Æ¦Xª«¤§±Æ°£·|¦]³zªR¦Ó¼W¥[¡AÀ³¦Ò¼{ºÊ´ú±wªÌµÇ¥\¯àÅÜ¤Æ,,201804191458,201804191458
IDEXA,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¾÷¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804231401,201804231401
IDIF,¦¨¤H,Clcr,10.00,20.99,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j¬°72¤p®É¡A©Î¥¿±`¨C¤é¾¯¶qªº¤T¤À¤§¤@¡Aµ¹ÃÄ¶¡¹j24¤p®É,,,202303090949
IDIF,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j¬°48¤p®É¡A©Î¥¿±`¨C¤é¾¯¶qªº¤@¥bµ¹ÃÄ¶¡¹j24¤p®É,,,202303090949
IDIF,¦¨¤H,Clcr,40.01,999.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j¬°24¤p®É,,,202303090949
IDIG2,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤ÎµL§¿±Æªn¯f¤H¡A¥b°I´Á¥i¯à©µªø¦Ü100¤p®É¡A¦]¦¹¥i¯à»Ý­n´î¤Öºû«ù¾¯¶q¡C,,201804120018,201804120018
IDIPE,¦¨¤H,Clcr,0,25.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,[¥é³æ],201804261426,202312061943
IDIPH,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,µ¹ÃÄ¶¡¹j 12-18 ¤p®É,,201804242359,201804242359
IDIPH,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,µ¹ÃÄ¶¡¹j 6-12 ¤p®É,,201804242359,202303090950
IDIPH,¦¨¤H,Clcr,50.00,0,mL/min,mL/min,µ¹ÃÄ¶¡¹j 6 ¤p®É,,201804242358,202303090950
IDOR,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,Decrease dose by 50%,,201804191531,201804191531
IDOX,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,(Hemodialysis¡A ESRD) Give standard dosage after hemodialysis; may consider giving 75% of the original dose.,Micromedex 20231120,202311201130,202311201131
IDOX,¦¨¤H,Clcr,0,0.03,mL/min,mL/min,(Hemodialysis¡A ESRD) Urothelial cancer receiving M-VAC: Methotrexate 15 mg/m2¡A Cisplatin 40 mg/m2¡A vinblastine 1.8 mg/m2¡A Doxorubicin 18 mg/m2 day 1; dialysis 1 hour after Cisplatin,Micromedex 20231120,202311201136,202311201138
IDOX,¦¨¤H,Clcr,0,0.02,mL/min,mL/min,(Hemodialysis¡A ESRD) Urothelial cancer receiving VAC: Carboplatin 100 mg/m2¡A Vinblastine 3 mg/m2¡A Doxorubicin 22.5 mg/m2 on day 1; dialysis 24 hours after Carboplatin,Micromedex 20231120,202311201138,202311201138
IDYN,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,À³±q³Ì§C¾¯¶q¶}©l¨Ï¥Î¡A¨Ã±K¤ÁºÊ´ú¯f¤HµÇ¥\¯à,,201804141610,202303090951
IEND,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,­°§C50% ªº¾¯¶q¡C,,201804301558,202303090951
IEND5,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,µÇµ·²y¹LÂo³t²v<10mL/min¡A­°§C 50% ªº¾¯¶q¡C,20231012 ¥é³æ,202310121204,202310121205
IENH,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,No recommendation was established.,¥é³æ 20230116,202301161546,202301161546
IEPH,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦Ñ¦~¯f¤H·|«ØÄ³±q¤@¯ë«ØÄ³¾¯¶q¤§½d³ò¤¤ªº³Ì§C¾¯¶q¨Ó¶}©l¨Ï¥Î,,201804120027,201804120027
